run_type,param2,param3,weights,model_setting,model,mae_raw,mae_weighted,crps_raw,crps_weighted,mae_improvement_pct,crps_improvement_pct
calibration,0.75,1.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.502665581271466,2.6752354844264814,2.272864881561586,13.393052704204358,12.632346138699596
calibration,0.75,1.25,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.498116768694166,2.6752354844264814,2.2720313210721015,13.439600354359584,12.646868602754157
calibration,0.75,1.5,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.4994024620378665,2.6752354844264814,2.272377266894021,13.402327396116275,12.620657771582554
calibration,0.75,2.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.50247730625216,2.6752354844264814,2.2734230655730063,13.340104664961565,12.567999216547564
calibration,0.75,3.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.506946951453638,2.6752354844264814,2.27587994874119,13.265193253313706,12.47097320907216
calibration,0.75,4.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.515016355709838,2.6752354844264814,2.2797566940269953,13.145158548271736,12.327986655191028
calibration,0.75,5.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.523010090290087,2.6752354844264814,2.2841104329351984,13.026989585344982,12.17083010621235
calibration,0.75,6.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.533017640741264,2.6752354844264814,2.2896790643707234,12.883228904619095,11.972558325883561
calibration,1.0,0.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.813768456261927,2.6752354844264814,2.429851447013143,9.385766349316201,7.537155052724724
calibration,1.0,0.05,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.75667016522487,2.6752354844264814,2.409601664112975,10.08545257472005,8.14683645799914
calibration,1.0,0.1,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.715087412899037,2.6752354844264814,2.3951029556447456,10.6077764069221,8.594764301519705
calibration,1.0,0.15,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.683658026576984,2.6752354844264814,2.384295415137646,11.002290848694,8.930157238165668
calibration,1.0,0.2,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.66296168248447,2.6752354844264814,2.3770572640638505,11.266514358552724,9.153154743024752
calibration,1.0,0.25,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.645479625927047,2.6752354844264814,2.3708944191969796,11.492961084707808,9.34917838756488
calibration,1.0,0.3,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.632558896237228,2.6752354844264814,2.365869771876566,11.658644653737962,9.505767019142999
calibration,1.0,0.35,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.621421904589692,2.6752354844264814,2.3619456976965436,11.80091676025876,9.630930347791404
calibration,1.0,0.4,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.613067081079274,2.6752354844264814,2.3588870413077467,11.908210747674934,9.730797587516356
calibration,1.0,0.45,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.607416348812623,2.6752354844264814,2.3560690274758653,11.974408442237573,9.81692663678078
calibration,1.0,0.5,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.6020340292958775,2.6752354844264814,2.3535455685187476,12.04335478465328,9.897309182082502
calibration,1.0,0.55,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.5948110541984715,2.6752354844264814,2.350957589175056,12.13726874266214,9.977888304593499
calibration,1.0,0.6,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.590349789177131,2.6752354844264814,2.3488382304673663,12.1922417334455,10.04447140988506
calibration,1.0,0.65,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.586051018468276,2.6752354844264814,2.3467528822516295,12.243625970426551,10.107396233764238
calibration,1.0,0.7,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.582323962423788,2.6752354844264814,2.345077508295479,12.288647628433251,10.156956001164009
calibration,1.0,0.8,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.578159742787901,2.6752354844264814,2.3424620112797356,12.340355103922937,10.238934706457844
calibration,1.0,0.9,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.575180528929754,2.6752354844264814,2.340929166479094,12.379626492224093,10.287780321741543
calibration,1.0,1.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.570622049041584,2.6752354844264814,2.338121124446716,12.432975511424697,10.376796506513672
calibration,1.0,1.25,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.565837229237475,2.6752354844264814,2.334470357296738,12.48786863242778,10.49104510384934
calibration,1.0,1.5,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.563574407257659,2.6752354844264814,2.332002147168956,12.499987890052292,10.559258551302893
calibration,1.0,2.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.560541793563241,2.6752354844264814,2.327627693347736,12.531758078167725,10.696446291067875
calibration,1.0,3.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.553182689171703,2.6752354844264814,2.320481042346395,12.629089883230396,10.928723076656071
calibration,1.0,4.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.552829826110099,2.6752354844264814,2.3177409387622165,12.627294836865278,11.012710231400339
calibration,1.0,5.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.5545006628719635,2.6752354844264814,2.3178390273882488,12.600238120420753,11.000341879361676
calibration,1.0,6.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.561740434578246,2.6752354844264814,2.320835038455852,12.49171208789671,10.888520095078537
calibration,1.25,0.0,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.862906589294244,2.6752354844264814,2.4891682706546936,8.652468505090619,5.452234744483378
calibration,1.25,0.05,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.8150271346662015,2.6752354844264814,2.474053074677044,9.237915972937579,5.901441772970894
calibration,1.25,0.1,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.784243077220408,2.6752354844264814,2.4639409469145614,9.626500070327598,6.216886634117901
calibration,1.25,0.15,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.758451811086862,2.6752354844264814,2.4560047006857206,9.952869085182487,6.464134110362173
calibration,1.25,0.2,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.743445241343356,2.6752354844264814,2.4504153203077013,10.141890042668882,6.637474042388088
calibration,1.25,0.25,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.7279268924541045,2.6752354844264814,2.4448010265678244,10.343376612629438,6.81921581049446
calibration,1.25,0.3,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.716239846887818,2.6752354844264814,2.439765061304982,10.493266556279298,6.976288036634231
calibration,1.25,0.35,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.70738430798971,2.6752354844264814,2.4357771425139148,10.607767461071726,7.105484837015887
calibration,1.25,0.4,kernel,_hist_insample_None_False_None,MULTI_prediction,6.538108108417391,5.698077001728197,2.6752354844264814,2.4317623416398253,10.72861915344138,7.23574234861811
