,param1,param2,param3,threshold,weights,model_setting,model,MDD,avg D,std_minus,std,win_rate,profit,hhi,gini,topk,rtp,no_action_perc,profit_per_action,crystal_profit,noncrystal_profit,crystal_std_minus,noncrystal_std_minus,Sortino_ratio
4981,0.05,2.0,2.0,5_95_IPR,kernel,_____None____,benchmark_prediction,1774.646672825329,21.009587823269175,13.455440443725113,17.45044913926681,0.9718978937728938,640111.0016395524,7.021953098042353e-05,0.19422966697145422,0.19408247536860557,0.503732747206098,0.0,36.636389745853506,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47572.653181937676
4917,0.05,0.25,2.0,3sigma,kernel,_____None____,benchmark_prediction,1760.1564742270857,21.27992553694826,13.446378369258877,17.392363128402216,0.9719551282051282,639553.3027887659,7.015573543805409e-05,0.19460758724850621,0.19398323354111488,0.5019292583523578,0.0,36.60447016877094,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47563.2386078703
4930,0.05,1.25,0.35,5_95_IPR,kernel,_____None____,benchmark_prediction,1752.9704396212474,20.877424547547697,13.466965119992263,17.459739905224467,0.9721268315018315,640530.4739106996,7.021634144225848e-05,0.1942598010485632,0.19408701649921922,0.5050892383740465,0.0,36.6603980031307,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47563.08999121159
4975,0.05,2.0,0.7,5_95_IPR,kernel,_____None____,benchmark_prediction,1792.551476660883,21.37085540274577,13.462634096731756,17.462182927244207,0.9723557692307693,640258.7515440665,7.023099896338517e-05,0.19426120917625478,0.19410309843818216,0.5042105414593163,0.0,36.64484612775106,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47558.20792154622
4914,0.05,0.25,0.9,3sigma,kernel,_____None____,benchmark_prediction,1769.1762033466948,21.175253000506558,13.447557652853627,17.390705611845522,0.9718978937728938,639481.944413642,7.015615604934652e-05,0.1945484899377871,0.19395650660722805,0.501698499343306,0.0,36.600386012685554,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47553.76113059023
4912,0.05,0.25,0.7,5_95_IPR,kernel,_____None____,benchmark_prediction,1754.3072324584937,21.530960586374007,13.450646574393202,17.391781118152714,0.9715544871794872,639597.7604969705,7.015307455977105e-05,0.19399942611125975,0.19392574131308893,0.5020730258732999,0.0,36.60701468045848,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47551.45092538606
4920,0.05,0.25,5.0,3sigma,kernel,_____None____,benchmark_prediction,1764.6808592483867,21.38045201028572,13.453016788280914,17.399824586424273,0.9718406593406593,639456.4213522112,7.017074345875142e-05,0.19463643493563543,0.19402539947202385,0.5016159627615306,0.0,36.598925214755674,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47532.56696366048
4971,0.05,2.0,0.35,3sigma,kernel,_____None____,benchmark_prediction,1811.8763148975559,21.706372349890408,13.46533945462461,17.453511314294914,0.9715544871794872,639862.0300764345,7.02341991540451e-05,0.1938802088226536,0.1940521749523375,0.5029276219340122,0.0,36.62213999979593,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47519.19045432432
4908,0.05,0.25,0.35,3sigma,kernel,_____None____,benchmark_prediction,1768.7062033467228,21.398460169774097,13.45791803399332,17.40147138056027,0.9717261904761905,639490.9887626427,7.017179351033263e-05,0.19445214079639506,0.19397064801003402,0.5017277469965673,0.0,36.60090366086554,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47517.82461056414
4985,0.05,2.0,5.0,iqr,kernel,_____None____,benchmark_prediction,1717.0129913138226,21.028265490271373,13.47774391097174,17.51218080890111,0.9721268315018315,640354.2615494885,7.030163042082003e-05,0.1945800044027803,0.19423027580904859,0.5045194021104659,0.0,36.650312588684095,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47511.97721068135
4905,0.05,0.25,0.05,3sigma,kernel,_____None____,benchmark_prediction,1768.7062033467228,21.30249986932686,13.46202709353907,17.407219950785038,0.971783424908425,639575.5668604154,7.017691889482007e-05,0.1944549977328262,0.19396269398614194,0.5020012559994789,0.0,36.605744440271025,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47509.603302415846
4954,0.05,1.75,0.7,5_95_IPR,kernel,_____None____,benchmark_prediction,1825.1158494807314,21.58193558705628,13.474879027320965,17.471456788926382,0.9721840659340659,640167.9413564217,7.024849853149971e-05,0.19431596755650438,0.19413127942132868,0.503916879098362,0.0,36.6396486582201,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47508.251469898205
4902,0.05,0.25,0.0,3sigma,kernel,_____None____,benchmark_prediction,1768.7062033467228,21.37872956766702,13.462333107825096,17.409023070906944,0.9718406593406593,639542.1374588684,7.01809536634635e-05,0.19455332427050095,0.1940110935833072,0.5018931518622871,0.0,36.60383112745355,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47506.04017420496
4964,0.05,1.75,5.0,iqr,kernel,_____None____,benchmark_prediction,1718.0892510819249,20.872345342257766,13.48105476201202,17.51285122982852,0.9721268315018315,640378.4726505424,7.030164281337854e-05,0.19464747520539274,0.19429886179762615,0.5045976960693397,0.0,36.65169829730669,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47502.10454266912
4957,0.05,1.75,0.9,5_95_IPR,kernel,_____None____,benchmark_prediction,1792.8750035404228,21.471956566690977,13.47952213650102,17.48274795562103,0.9720123626373627,640228.0988819381,7.026287628253027e-05,0.19433510821348848,0.19421630311644747,0.5041114167535581,0.0,36.64309174003767,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47496.34982595362
4965,0.05,2.0,0.0,3sigma,kernel,_____None____,benchmark_prediction,1809.6244544448564,21.395614700788958,13.4698073192934,17.416261834531333,0.9716689560439561,639617.5045369316,7.018866899216552e-05,0.19411588554718362,0.19400083105601212,0.5021368742315089,0.0,36.608144719375666,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47485.27498391007
4974,0.05,2.0,0.7,3sigma,kernel,_____None____,benchmark_prediction,1818.154176268028,21.532517561017436,13.476892007469768,17.47865875446012,0.9718406593406593,639833.7768055588,7.027283829967521e-05,0.19417167781777872,0.19419770133709516,0.5028362563896255,0.0,36.6205229398786,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47476.36001319306
4980,0.05,2.0,2.0,3sigma,kernel,_____None____,benchmark_prediction,1758.176345981774,21.008762336784553,13.472106021800965,17.465215860038924,0.9717261904761905,639582.7963821787,7.026300939261822e-05,0.19440663066770705,0.19419837278627974,0.5020246348569026,0.0,36.606158217844474,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47474.596425175594
4960,0.05,1.75,2.0,5_95_IPR,kernel,_____None____,benchmark_prediction,1821.3338803307852,21.48360641552817,13.486375423855748,17.48317989488011,0.9720695970695971,640237.9628778236,7.026311859849415e-05,0.19437909636789275,0.19415523517672387,0.5041433149843106,0.0,36.64365630024174,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47472.945306366084
4972,0.05,2.0,0.35,5_95_IPR,kernel,_____None____,benchmark_prediction,1786.2736152904108,21.558937964313596,13.488850860980344,17.47756564025713,0.9717261904761905,640243.6058506998,7.025452279944578e-05,0.19386280637182182,0.19404331890392904,0.5041615632533716,0.0,36.64397927259042,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47464.65154439169
4951,0.05,1.75,0.35,5_95_IPR,kernel,_____None____,benchmark_prediction,1781.392100830446,21.474124470735866,13.492523626049897,17.481169821360687,0.9719551282051282,640401.333427701,7.025347787708993e-05,0.19402207331307952,0.1940656565102373,0.5046716233452078,0.0,36.6530067209078,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47463.421312176455
4946,0.05,1.75,0.0,iqr,kernel,_____None____,benchmark_prediction,1770.149571074522,21.378108594755858,13.500339377116683,17.508571358629524,0.9724130036630036,640717.691919013,7.02814306528161e-05,0.19434863126021595,0.19409932180092485,0.5056946647448137,0.0,36.67111331954058,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47459.37668834022
4940,0.05,1.25,2.0,iqr,kernel,_____None____,benchmark_prediction,1809.845238170703,22.012361397065487,13.499700258596922,17.533142129837145,0.9718406593406593,640587.4696980164,7.032339550718437e-05,0.19433617179252094,0.1943208695079782,0.5052735515871561,0.0,36.66366012465753,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47451.97726075995
4950,0.05,1.75,0.35,3sigma,kernel,_____None____,benchmark_prediction,1815.4509262654465,21.738313543193673,13.483373113791682,17.46512700558638,0.9717261904761905,639795.603590598,7.0254211291224e-05,0.19402305230695888,0.19404767588414085,0.5027128116889663,0.0,36.61833811759375,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47450.708230878285
4978,0.05,2.0,0.9,5_95_IPR,kernel,_____None____,benchmark_prediction,1760.3106307205744,21.425968273271643,13.48794967581084,17.485788943850498,0.9718978937728938,639931.7932141144,7.027948110331052e-05,0.19421240046839103,0.19416274617971038,0.50315322225761,0.0,36.62613285337193,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47444.70498446194
4938,0.05,1.25,2.0,3sigma,kernel,_____None____,benchmark_prediction,1732.6717543618288,20.9799914697369,13.487130427030904,17.47927361887348,0.9718978937728938,639739.9490205147,7.027758076462742e-05,0.1945122537095902,0.19415863209394837,0.502532835709702,0.0,36.61515275987378,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47433.362677234
5004,0.05,3.0,5.0,3sigma,kernel,_____None____,benchmark_prediction,1774.0958133306121,21.6139807747919,13.484065178128198,17.43030007529811,0.9718406593406593,639549.6799076591,7.021231291606552e-05,0.19423193292335994,0.19398581651161081,0.5019175426644281,0.0,36.60426281522774,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47430.0347453852
5003,0.05,3.0,2.0,iqr,kernel,_____None____,benchmark_prediction,1746.756453179638,21.37239672601678,13.506147457277262,17.52852683275777,0.9720123626373627,640549.3367116044,7.031806316905567e-05,0.19421010010563,0.19418654990628825,0.5051502369777447,0.0,36.661477604830836,793573.3731935415,484340.0504425006,12.489489971668467,18.86725787072497,47426.50254173475
