param1,param2,param3,threshold,weights,model_setting,model,MDD,avg D,std_minus,std,win_rate,profit,hhi,gini,topk,rtp,no_action_perc,profit_per_action,Sortino_ratio
,1.5,0.5,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1592.0712901926015,20.98709307538549,14.756918811623482,19.131657975911608,0.9672046703296704,647791.3890933988,7.247417006668462e-05,0.2000067443924037,0.1987942028851084,0.5285696159675857,0.0,37.07597236111486,43897.46920496421
,2.75,0,5_95_IPR,kernel,_____None____,benchmark_prediction,1564.131380727631,22.059510111274424,14.674274383539618,18.995791885912805,0.9675480769230768,644150.2615728737,7.242881462260846e-05,0.1994127056517588,0.1990470946345812,0.5167949227096519,0.0,36.86757449478444,43896.56651748504
,2.5,0.5,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1715.907619159203,23.224019753453454,14.710660836922909,19.01126454411092,0.9673191391941393,645694.3470313775,7.238087551448466e-05,0.1994496240610328,0.1985522175195902,0.5217881926611795,0.0,36.95594934932335,43892.95315753063
,1.75,0.05,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1660.831722488976,22.57805627980101,14.780967943838784,19.18258519120888,0.9676625457875456,648673.0479903107,7.251379299136517e-05,0.2002821245435831,0.1991092437739429,0.5314207281603738,0.0,37.12643360750405,43885.69479718681
,1.75,0.35,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1710.2176746535115,22.827963849482583,14.726340911791327,19.05602462823388,0.9669184981684982,646213.1686514599,7.242785505495001e-05,0.1996932046598339,0.1986032627128604,0.5234659601652336,0.0,36.98564381017971,43881.44838708978
,2,0.5,iqr,kernel,_hist_insample_None_False_None,MULTI_prediction,1661.6960952075897,22.24523462261872,14.822860620078314,19.3461430149913,0.9686355311355312,650401.5414642282,7.269296551034624e-05,0.2006814981022343,0.1985169159786231,0.5370103375159899,0.0,37.22536295010463,43878.27411553924
,1.75,0,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1626.1022754355215,22.9357599326153,14.779754175310476,19.19130265577485,0.9666895604395604,648488.2879571662,7.253639906599958e-05,0.2003401569272498,0.1992859822634948,0.5308232503998892,0.0,37.11585897190741,43876.79796734803
,1,0.35,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1684.866824284487,22.229063133369092,14.77804827995005,19.11854399972712,0.9672619047619048,648374.2360080119,7.24259355324038e-05,0.2001254566525513,0.1985783658150687,0.5304544287342947,0.0,37.109331273352325,43874.14520005908
,1.75,0.5,iqr,kernel,_hist_insample_None_False_None,MULTI_prediction,1662.502075876575,23.01550635917581,14.819107619310628,19.322095316880223,0.9681204212454212,650170.9036612883,7.266550080521228e-05,0.2006287074991719,0.198480079536014,0.5362645000335089,0.0,37.21216252640158,43873.82292939538
,2.5,0.45,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1702.2036405609106,22.7271624646474,14.717485543020272,19.0139105722869,0.9673763736263736,645704.1409064234,7.23846324370148e-05,0.1993152973216249,0.1984825790219178,0.5218198641348707,0.0,36.95650989620098,43873.264833111854
,2,0.45,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1737.5901466383948,23.116885019348995,14.721216571795022,19.060614839810096,0.9666895604395604,645857.0921515629,7.245194120293096e-05,0.1993837456215684,0.1984516493789413,0.5223144785049482,0.0,36.96526397387608,43872.53519447481
,2,0.4,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1686.330555183289,22.559527712363423,14.726589811475604,19.09691727751297,0.9664033882783882,646033.2071795998,7.250163489952127e-05,0.199438664898339,0.1987359436642674,0.5228840000121069,0.0,36.975343817513725,43868.48655730076
,2,0.15,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1520.3825358319446,21.487405009051237,14.76572490143958,19.125215917845765,0.9673191391941393,647728.805746449,7.246685174827188e-05,0.1988590252398167,0.198739538782489,0.5283672336809905,0.0,37.07239043878486,43867.050894555054
,0.75,0.5,mae,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1621.2382154340155,22.61643477108661,14.805443701045098,19.231659499502783,0.965716575091575,649455.7429190516,7.255507620464313e-05,0.1993960216413083,0.1989587331088456,0.5339518102629678,0.0,37.1712307073633,43866.0100995965
,2,0.35,iqr,kernel,_hist_insample_None_False_None,MULTI_prediction,1627.837660879828,22.20980779663352,14.827680775868275,19.3323806525966,0.967948717948718,650418.7244367982,7.267016410048433e-05,0.2003299552606045,0.1985607689827959,0.5370659038838612,0.0,37.22634640778378,43865.16908937912
,3,0.35,5_95_IPR,kernel,_____None____,benchmark_prediction,1566.3055103705265,23.30134126893878,14.670500641798547,19.09016908486249,0.9681204212454212,643512.7915378548,7.261058916872766e-05,0.2008589386516458,0.1995299076025267,0.5147334694699178,0.0,36.83108925926367,43864.4056702732
,1.25,0.25,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1675.5302487022127,21.453959820345084,14.767094641432374,19.0968391808086,0.9668612637362636,647725.525958963,7.242183736128242e-05,0.1998791597354226,0.1987653185273451,0.5283566274906327,0.0,37.072202722010246,43862.7598513268
,2.75,0.45,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1714.6383548661834,22.840342230493093,14.712698743815656,19.007083622454232,0.9673191391941393,645227.2262075475,7.23961435200919e-05,0.1994350954829857,0.198531646916702,0.5202776154061982,0.0,36.92921395418655,43855.12389280469
,1,0.45,iqr,kernel,_____None____,benchmark_prediction,1724.4548384441296,23.510142522040876,14.75229808519865,19.37771832400812,0.9681776556776556,646908.6640079159,7.291139630727991e-05,0.201656189674679,0.2003608321984072,0.5257150559297801,0.0,37.02545009202815,43851.38235899501
,1.5,0.3,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1706.4168725201162,22.594158315777477,14.75438467606591,19.12904772863683,0.966632326007326,646889.8029722135,7.251250984563495e-05,0.2005968541177847,0.1990673171792573,0.5256540630344007,0.0,37.02437059135837,43843.90248558297
,2.25,0.5,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1718.3107012060937,23.13906293129044,14.736681065964415,19.069154654836318,0.9666895604395604,646104.4274243427,7.245392115761525e-05,0.1991954435190032,0.19859781733238,0.5231143123345608,0.0,36.97942006778519,43843.27953711195
,2.25,0.35,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1653.5358559456072,22.523981048526792,14.726432256870693,19.03469407058748,0.9665750915750916,645635.4212004198,7.242100325813075e-05,0.1989356581419929,0.1984414569656318,0.5215976380649494,0.0,36.95257676284454,43841.94419522049
,1.75,0.5,mae,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1610.1017954836134,22.63657704656363,14.763957606170369,19.102048487231336,0.9668612637362636,647272.8733263591,7.245138506159459e-05,0.1992924152446124,0.1987172731772742,0.5268928375323677,0.0,37.04629540558374,43841.420477653046
,2.25,0.45,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1701.0111601143144,22.872636024650944,14.731661726141114,19.05833717121728,0.966632326007326,645785.1717708933,7.245169344812966e-05,0.1989838237495244,0.1984821735040444,0.5220819020800344,0.0,36.96114765172237,43836.54632966199
,2.25,0.4,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1651.5163834740524,22.511501782415507,14.733471755422594,19.055227898169218,0.9665750915750916,645832.8955887299,7.244448046996125e-05,0.1990581167886242,0.1984028264567168,0.5222362315598331,0.0,36.96387909734031,43834.40008639062
,1.25,0.5,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1659.937040277,21.567306801929902,14.78483951120905,19.15128366175444,0.9665750915750916,648071.2274992537,7.249226737177412e-05,0.1994977229454015,0.1986279409668262,0.529474558563569,0.0,37.09198875339136,43833.49761814607
,1.5,0.1,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1564.3968737836112,21.57387058057417,14.78852575754559,19.127044501656325,0.9669184981684982,648134.0936085952,7.24507168642957e-05,0.1997308294220565,0.1987579650579173,0.5296778552483578,0.0,37.0955868594663,43826.82251325126
,2.25,0.3,iqr,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1602.2599324916373,20.808961502156112,14.777297216814272,19.10131323245285,0.9684065934065934,647620.8899880451,7.243386482385123e-05,0.1990699599577222,0.1982365351111872,0.5280182552544617,0.0,37.06621394162346,43825.395164357455
,1.5,0.35,5_95_IPR,kernel,_hist_insample_None_True_dual_coeff,MULTI_prediction,1721.8087722982164,23.118262250046214,14.759567710545502,19.121258242059326,0.9669184981684982,646839.5176459546,7.250244328623634e-05,0.2007213448048846,0.1990519439092958,0.5254914501380559,0.0,37.02149253926022,43825.099103939
